,file,language,header1,header2,paragraph
33,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,PARTS,,Cleaning brush
34,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,BEFORE USING FOR THE FIRST TIME,,"Follow the directions under USING PRE-GROUND COFFEE MODE but WITHOUT adding a filter paper or coffee. Once the water has cycled through the machine, discard it. Wash then dry the carafe."
35,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CORD STORAGE,,Excess power cord can be pushed back into the body of the appliance for storage.
36,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,It isn’t necessary to set the clock to use your coffee maker but you will need to set it if you want to use the timer functions.
37,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,1. 
38,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,Put the plug into the power socket.
39,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,2. 
40,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,12:00 will flash on the display. 
41,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,3. 
42,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,Use the hr and min buttons to set the correct time in 24 hour format.
43,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,• The clock will retain its settings until the coffee maker is unplugged.
44,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,SET THE CLOCK,,"• Use the hr and min buttons to set a new time. If you don’t press either the hr or min buttons within 15 seconds, the coffee maker will go back to showing the previously set time."
45,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,"hr, minUsed to set the time (hours and minutes)bbUsed to select the coffee strength.  For Grind & Brew mode the options are: "
46,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,b normal bb medium bbb strong. Default value is bb.
47,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS, For pre-ground coffee mode the options are OFF or ON.
48,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,gNumber of cups that are being brewed (Grind & Brew mode only). Selects the amount of coffee which will be ground based on the amount of water in the reservoir.  Options: 
49,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,", , ,  and . Default values is ."
50,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,YUsed to set up the timer.
51,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,"sMode select.  This button selects Grind & Brew mode (display will show g), or pre-ground coffee mode (display will show s)."
52,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,+Starts the brewing process.
53,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,CONTROLS,cInitiates self clean mode.
54,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,"b,  bb,  bbbShows the currently selected coffee strength. For Grind & Brew mode the display shows: "
55,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,b normal bb medium bbb strong. For pre-ground coffee mode if the strength mode is set to OFF no b icon will be shown. If the strength mode is set to ON the display will show b.
56,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,", , ,  or Shows the currently selected number of cups being brewed (Grind & Brew mode only)."
57,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,gGrind & Brew mode selected.
58,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,sPre-ground coffee mode selected.
59,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CONTROLS AND DISPLAY,DISPLAY ICONS,CLE cThe machine needs cleaning. Use the self clean function.
60,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,OPERATING MODES,,Your coffee maker has two operating modes. 
61,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,OPERATING MODES,GRIND & BREW MODE,This mode uses fresh coffee beans to make the coffee.
62,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,OPERATING MODES,PRE-GROUND COFFEE MODE,This mode uses pre-ground coffee added directly to the filter to make the coffee.
63,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"The quality and flavour of your coffee is determined by the type of beans, the grind size and the brewing time.  We recommend experimenting with the grind size and coffee strength button until you find the settings that work best for you.  "
64,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,1. 
65,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"To select Grind & Brew mode, press the s button until the g icon shows on the display. "
66,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,2. 
67,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"Fill the reservoir with the required amount of water. Note that during the brewing cycle, ALL of water you put in the reservoir will be used."
68,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,3. 
69,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,Open the filter compartment and place a #4 paper filter into the filter holder. Close the compartment.
70,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,4. 
71,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,Open the coffee bean hopper lid and fill it with fresh coffee beans. Don’t overfill the hopper so that you can’t refit the lid. The lid seal will help to keep the coffee beans fresh between uses.
72,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,5. 
73,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"Turn the grind control to the required setting (l fine, l medium and l coarse)."
74,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,6. 
75,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"Press the g button to select the number of cups you are brewing. The setting you choose will depend on how much water you have added to the reservoir. For example, if you have filled the reservoir to the  cups mark, set the number of cups to 6 as well. The default setting is ."
76,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,7. 
77,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,Select the desired coffee strength using the bb button.  The default setting is bb.
78,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,8. 
79,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"Press the + button to start brewing. After a short time, the grinder will operate and the light around the button will flash while the coffee is brewing."
80,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,9. 
81,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING GRIND & BREW MODE,,"Once the coffee is brewed, the light will stop flashing and remain lit. "
82,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,1. 
83,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"To select pre-ground coffee mode, press the s button until the s icon shows on the display. "
84,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,2. 
85,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"Fill the reservoir with the required amount of water. Note that during the brewing cycle, ALL of water you put in the reservoir will be used."
86,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,3. 
87,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,Open the filter compartment and place a #4 paper filter into the filter holder. 
88,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,4. 
89,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"For each large cup, add 6g of ground filter coffee to the filter. "
90,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"The amount of ground coffee you add will depend on how much water you have added to the reservoir. For example, if you have filled the reservoir to the  cups mark, add 6 measures of ground coffee."
91,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,5. 
92,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,Close the filter compartment.
93,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,6. 
94,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,Select the desired coffee strength using the bb button.  The default setting is OFF. Setting coffee strength to ON will give a stronger brew by slowing down the rate that water passes through the pre-ground coffee.
95,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,7. 
96,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"Press the + button to start brewing. After a short time, the light around the button will flash while the coffee is brewing."
97,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,8. 
98,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,"Once the coffee is brewed, the light will stop flashing and remain lit. "
99,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING PRE-GROUND COFFEE MODE,,GBDEFRNLITESPTDKSENOFIRUCZSKPLHRSIGRHUTRROBGAE
100,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,KEEP WARM,,"• Once brewed, the hotplate will keep the coffee warm for 40 minutes after brewing. The keep warm mode is indicated by the light around the + button coming on.  After 40 minutes, the light will go out. "
101,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,Note: Make sure the clock is set to the correct time. Use the hr and min buttons.
102,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,1. 
103,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,Prepare the coffee maker according to which mode you are using but do not press the + button to start brewing.
104,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,2. 
105,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,Press the Y button. The button will flash and the Y icon will flash on the display.
106,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,3. 
107,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,"Within 10 seconds of pressing the Y button, use the hr and min buttons to enter the time you want your coffee maker to start brewing."
108,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,4. 
109,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,"If a time has previously been programmed, it will flash on the display otherwise the display will show the default setting of 8:00."
110,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,5. 
111,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,"10 seconds after you have finished entering the time, the Y button will stop flashing and remain lit. The Y icon on the display will also stop flashing and remain lit. Your coffee maker is now programmed to brew at the time you have entered."
112,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,• If you want to check the program time press the Y button. The programmed time will show for 3 seconds and then return to the time of day. 
113,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,"• If you want to cancel the timer before brewing has started, press and hold the Y button for 5 seconds until the Y light goes out and the  Y icon disappears from the display."
114,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,USING THE TIMER,,"• If you want to stop the coffee maker while it’s brewing, press the + button."
115,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,If you want a quick cup of coffee before the brewing cycle has finished:
116,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,1. 
117,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,You can remove the carafe at any time. The non-drip valve will prevent coffee dripping on to the hotplate.
118,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,2. 
119,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,"To prevent the filter holder overflowing, replace the carafe on the hotplate within about 20 seconds. "
120,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,3. 
121,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,A QUICK CUP ,,When you replace the carafe on the hotplate the non-drip valve opens to let any remaining coffee through.
122,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,1. 
123,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,Unplug the appliance and let it cool.
124,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,2. 
125,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,Tip the contents of the filter holder into the bin.
126,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,3. 
127,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,Wipe all surfaces with a clean damp cloth.
128,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,4. 
129,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,Hand wash the carafe and filter holder. Wipe out the hopper with kitchen paper.
130,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,5. 
131,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,Wipe the shaded area shown in Fig H with a piece of damp kitchen paper. Use the brush if necessary to loosen any coffee debris.
132,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,GENERAL CLEANING,"Note: If you haven’t used your coffee maker for more than 4 weeks, we recommend that you follow the steps under BEFORE USING FOR THE FIRST TIME before brewing coffee again."
133,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,"The grinder can be disassembled in order to clean it.  If you try to disassemble the grinder without first removing any surplus coffee beans, it will be very difficult to reassemble correctly. The grinder cannot be cleaned if the coffee maker is in keep warm mode. Follow these steps:"
134,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,1. 
135,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Twist the coffee bean hopper and lid counterclockwise until the d symbol aligns with the usymbol (Fig A).
136,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,2. 
137,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,"Lift off the hopper, remove the lid and empty out any coffee beans. Wipe out the hopper with kitchen paper."
138,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,3. 
139,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Replace the lid then refit the hopper onto the coffee maker aligning the d symbol with the usymbol. Twist the hopper clockwise until the d symbol aligns with the lsymbol (Fig B).
140,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,4. 
141,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Turn the grind control to the fine (l) setting.
142,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,5. 
143,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Press the g button to select the  cup setting.
144,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,6. 
145,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,"Press the + button. After a few moments the grinder will start. Once it has stopped, press the + button until the +light goes out."
146,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,7. 
147,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Follow step 1 again to remove the bean hopper.
148,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,8. 
149,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Turn the grind control to the r setting (Fig C). 
150,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,9. 
151,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Lift up the handle on the grinding head (Fig D).
152,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,"10. Lift the grinding head out of the body of the appliance (Fig E). If it doesn’t lift out easily, make sure that the  marks on the grinding head are aligned with the b markings (Fig G)."
153,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,11. 
154,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,Use the cleaning brush to clean the grinding head and the area where it fits into the appliance.  Do not use water.
155,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,12. Refit the grinding head by aligning the  marks on the grinding head with the b markings and pressing it down (Fig G).  Fold the handle back down.
156,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,13. Turn the grind control to any of the grind settings.
157,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,CLEANING THE GRINDER,14. Refit the hopper.
158,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,"After 60 brewing cycles, the display will show CLE and the c icon to indicate that the appliance needs descaling. Descaling flushes out the deposits that naturally build up over time."
159,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,1. 
160,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,Use a proprietary brand of descaler suitable for use in plastic-bodied products. Follow the instructions on the package of descaler.
161,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,2. 
162,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,Pour the descaling solution into the water reservoir to the max mark.
163,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,3. 
164,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,Press the c button. 
165,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,4. 
166,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,The automatic self clean process will start and will continue for about 45 minutes.
167,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,5. 
168,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,"After the process has finished, your coffee maker will switch off."
169,example_pdfs/N25610-56_9707_11_OCT19_Russelhobbs.pdf,en,CARE AND MAINTENANCE,SELF CLEAN ,• Products returned under guarantee with faults due to scale will be subject to a repair charge.
