File;Question;Context
;How do you set the time on the device?;Handling and Operation Setting the time As soon as the appliance is plugged into a socket, the display lighting turns on and the time display 12:00 flashes. The clock has a 24-hour time format. Set the hours by long pressing, For both hours & minutes. 1. Keep the button pressed to set the hours (21). 2. Keep the button pressed to set the minutes (22). The time is saved until a new time is set or the device has been disconnected from the power supply. Filling the water tank 1. Open the water tank lid (9). 2. Pour the quantity of water required for the number of cups you want (maximum 10 cups) into the water tank (11). 3. Close the water tank lid. Adding coffee beans 1. Take off the lid of the coffee bean compartment (1). Ensure that the water tank is closed so that no coffee beans can fall into the water tank. 2. Fill the coffee bean compartment (2) with coffee beans. Do not overfill. 3. Place the lid back on the coffee bean compartment. Setting the Grinding Fineness Move the dial for the grinding fineness (8) to the position you want fine/medium/coarse. When you switch to another grinding strength, there will still be coffee powder with the previous grinding strength in the grinder shaft. The grinder shaft may need to be cleaned beforehand. (see chapter Cleaning the Grinder Shaft) Inserting the Filter 1. Open the filter compartment (5). 2. Insert a paper filter into the filter compartment (5a). Close the filter compartment. It must engage. Setting the Number of Cups Keep pressing the button until the display (7) shows the number of cups you want (12). The selected number of cups is saved until a new number of cups is set or the device has been disconnected from the power supply. All of the water in the water tank is always used up, regardless of the set number of cups or coffee strength. Setting the Coffee Strength The coffee strength can be set when making coffee with coffee beans. To do this, keep pressing the button (24) until the coffee strength (13) you want is shown on the display. - Mild coffee - Medium coffee - Strong coffee The selected coffee strength is saved until a new coffee strength is set or the device has been disconnected from the power supply. Keep-Warm Function The device has an automatic keep-warm function. The hotplate remains switched on for 40 minutes after each brewing process. After the brewing process the keep warm icon (17a) in the display will be lit. To end the keep-warm function prematurely, press the button (26) to cancel. Drip Stop The device has a drip stop which prevents coffee from dripping out of the filter when the jug has been removed from the device. When the device is in operation, the filter compartment (5) must be closed and the jug with lid placed must be placed beneath the filter compartment. During the brewing process, the jug must not be removed from the device for longer than 30 seconds as otherwise the filter could overflow. Preparation Making coffee with coffee beans 1. Fill the water tank. 2. Fill the coffee bean compartment. 3. Set the grinding fineness you want. 4. Open the filter compartment and insert a paper filter. Close the filter compartment. 5. Set the desired number of cups by pressing . 6. Set the desired coffee strength with the button . 7. Press the button (18) to switch on the grinder and start the brewing process.
;How do you set the hours and minutes for the time on the device?;
;How do you fill the water tank?;
;How do you add coffee beans to the device?;
;How do you adjust the grinding fineness of the coffee beans?;
;How do you insert a paper filter into the device?;
;How do you set the number of cups for the coffee brewing process?;
;How do you set the coffee strength when using coffee beans?;
;What is the function of the keep-warm function on the device?;
;How do you end the keep-warm function prematurely?;
;What is the purpose of the drip stop on the device?;
;What should be done with the filter compartment and jug during the brewing process?;
;How do you prepare coffee with coffee beans using the device?;
;How do you clean the filter insert and glass jug?;Making Coffee with Coffee Powder 1. Fill the water tank. 2. Open the filter compartment and insert a paper filter. Add the quantity of coffee powder you want. Close the filter compartment. 3. Set the desired number of cups with the button . 4. Press the button. The symbol (14) appears on the display. 5. Press the button (18) to start the brewing process. If the brewing process is to be aborted prematurely, press the button (26). The operating lamp goes out and the device will abort the brewing process. Making coffee with a pre-set time To make coffee with a pre-set time, the clock needs to be set (see “Setting the time”). 1. Make preparations according to your preference, coffee beans or coffee powder. Pour in water and insert a filter. 2. Set the desired number of cups with the button . 3. For making coffee with coffee powder, press the button before the timer is set. The symbol (14) appears on the display. 4. Press the timer button until the indicator time (16) flashes on the display. 5. Use the and buttons to set the start time you want. For making coffee with coffee beans, use the button (24) to set the coffee strength you want. 6. To activate the pre-set time, press the start button again. The symbol (15) appears on the display. The pre-set time is activated. Once the pre-set time is reached, the device switches on automatically. The operating lamp lights up and the (17) symbol flashes on the display. Deactivating the pre-set time To deactivate the pre-set time setting, press the CANCEL button (26). The symbol (15) goes out and the programming is deactivated. However, the pre-set time is retained and can be reactivated at any time until a new pre-set time is programmed or the device has been disconnected from the power supply. Cleaning and Care Do not use any toxic, corrosive or abrasive cleaning agents or scouring sponges to clean the device. These can damage the surface. 1. Clean the filter insert and the glass jug after every use with mild detergent and warm water or in the dishwasher. 2. If necessary, wipe down the coffee bean compartment (2) and the lid (1) with a damp cloth. 3. Wipe down the housing with a damp cloth. If necessary, use a little mild detergent to remove more intense soiling. Cleaning the Grinder Shaft 1. Remove the coffee beans from the coffee bean compartment (2). (Apart from the few beans that you cannot reach by hand.) 2. Insert a paper filter into the filter insert. 3. Press the button (18) to switch on the device. The grinding process will start. 4. Once the rest of the coffee beans have been ground - you can tell this from the change in the grinding noise – stop the grinding process by pressing the button (26) again. 5. Take out the coffee bean compartment: To do this, turn it a little anticlockwise until it disengages. Lift it off. 6. Move the grinding fineness dial (8) to the OPEN position. 7. Pull out the top part of the grinder (3) by the small handle. 8. Clean the grinder shaft and the grinder with the cleaning brush that is supplied. 9. Reinsert the top part of the grinder and press it down. Make sure it is in the correct position (arrow marking). Fold the handle down again. 10. Adjust the grinding fineness dial back to a grinding fineness. The grinder is locked again. 11. Place on the coffee bean compartment at an angle and turn it clockwise a little until it engages. 12. Open the filter compartment (5) to remove the paper filter. 13. To clean the grinder shaft from below: Press the button (19) until the symbol occurs. Press the button (18). The coffee powder tunnel gate will open. Open the filter compartment, use the brush to clean the residue inside, close the filter compartment, press the button (26) to close the coffee powder tunnel gate. Descaling As a precaution we recommend descaling after 60 uses. Use only environmentally friendly descaling agent and always follow the manufacturer´s instructions. Fill the water tank with water and descaling agent. Place the jug with lid on the warming place. Wait 15 minutes then press descaling button and press START to start the appliance. Let the water run through. Perform two more brewing cycles with water only to allow appliance to rinse through properly.
;Can you use toxic, corrosive, or abrasive cleaning agents on the device?;
;How do you clean the grinder shaft?;
;How do you clean the inside of the water tank?;
;How do you deactivate the pre-set time setting?;
;Can you use the device while it is being cleaned or descaled?;
;How do you descale the device?;
;How do you replace the charcoal water filter?;
;How do you troubleshoot if the device is not functioning properly?;
;How often should the device be cleaned and descaled?;
Braun/aromaster_classic_kaffeemaschine_kf_471_black/aromaster_classic_kaffeemaschine_kf_471_black_instruction_manuals_multilanguage.pdf;Can this appliance be used by people with reduced physical, sensory, or mental capabilities?;"Caution
• This appliance can be used by children aged from 8 years and above and persons with reduced physical, sensory or mental capabilities or lack of experience and knowledge if they have been given supervision or instruction concerning the safe use of the appliance and understand the hazards involved. Children shall not play with the appliance. Cleaning and user maintenance shall not be made by children unless they are older than 8 years and supervised.• Children younger than 8 years shall be kept away from the appliance and its mains cord.• This appliance is designed for household use only and for processing normal household quantities. 
• Before plugging into a socket, check whether your voltage corresponds with the voltage printed on the bottom of the appliance.
• Avoid touching hot surfaces, especially the hotplate. Never let the cord come in contact with the hotplate. Do not put the carafe on other heated surfaces (such as stove plates, hot trays, etc.).
• Before you start preparing coffee a second time, always allow the coffeemaker to cool down for approx. 5 minutes (switch off the appliance), otherwise steam can develop when filling with cold water.
• Braun electric appliances meet applicable safety standards. Repairs or the replacement of the mains cord must only be doneby authorised service personnel. Faulty, unqualified repair work may cause considerable hazards to the user. • Always use cold water to make coffee.
• Before using the coffeemaker for the first time or after a longer time of not using it, operate the appliance with the maximum amount of cold water without filling the filter with ground coffee."
;How should the appliance be cleaned and maintained by children?;
;What types of environments is this appliance intended to be used in?;
;How should the appliance be used with respect to hot surfaces?;
;Who should repair or replace the mains cord of the appliance?;
;Why is it important to allow the coffee maker to cool down before preparing coffee a second time?;
;Why is it important to only use cold water to make coffee?;
;What should be done with the appliance before using it for the first time or after a long period of not using it?;
;How often should the coffee maker be decalcified if it is used with hard water?;Making coffee Fill in fresh water, insert a No. 4 paper filter, fill in ground coffee, put the carafe on the hotplate and switch on the appliance. Brewing time per cup: approx. 1 minute. Cleaning Always unplug the appliance before cleaning. Never clean the appliance under running water, nor immerse it in water, only clean it with a damp cloth. All removable parts can be cleaned in a dishwasher. Decalcifying (without illustrations) If you use the coff eemaker with hard water, it has to be decalcifi ed regularly. If your coff eemaker takes much longer than normal to brew, this shows that you should decalcify the appliance. • You can use a commercially available decalcifying agent which does not aff ect aluminium. • Follow the instructions of the manufacturer of the decalcifying agent. • Repeat the procedure as many times as necessary in order to reduce the brewing time per cup to a normal level. • Allow the maximum amount of fresh cold water to run through at least twice to cleanse the coff ee-maker. Subject to change without notice. Please do not dispose of the product in the household waste at the end of its useful life. Disposal can take place at a Braun Service Centre or at appropriate collection points provided in your country
;Can the coffee maker be cleaned with running water?;
;Can all removable parts of the coffee maker be cleaned in a dishwasher?;
;How long does it typically take for the coffee maker to brew one cup of coffee?;
;How should the coffee maker be disposed of at the end of its useful life?;
;How do I clean the coffee maker and which parts are dishwasher safe?;
;How do I know when it is time to decalcify the coffee maker and how do I do so using a commercial decalcifying agent?;
Braun/puraroma_7_kaffeemaschine_kf_7020/puraroma_7_kaffeemaschine_kf_7020_instruction_manuals_multilanguage.pdf;How do I switch on the coffee maker and what does the green indicator light indicate?;"LED Control Panel 
a. start
Use to start the brew and keep warm cycles.
b. timer 
Use to program the start time of the brew cycle. 
The AUTO ON time can be set for any time, day 
or night. 
c. calc 
Use to activate the descaling mode and set the 
water hardness level.
d. clock
Displays time of day and use to set time for 
automatic functions (timer).
e. set
Use to program the time of day, timer and water 
hardness. 
f. strong
Use to select the brew strength (strong/normal).
g. 1-4 
Use to brew smaller amounts of coffee (up to 
4 cups).
Switching On/Off
• To switch on the coffee maker, press the On/Off 
button (1). The green indicator light will illuminate 
indicating that the coffee maker is in «ready» 
mode.
• To switch off the coffee maker, press the On/Off 
button again. The green indicator light will turn off 
indicating that the coffee maker is in «stand by» 
mode.
Auto Off Function
For your convenience and also additional safety, 
the appliance will switch off automatically 
40 minutes after the brewing cycle is complete.
Programming the Coffee Maker
Note: The device features a 60-second power loss 
back-up system that remembers all programmed 
information, including time of day and auto on times 
in the event of a tripped breaker, unit is unplugged, 
or power failure. 
Setting the Time 
When the coffee maker is first plugged in or when 
power is restored after an interruption, the LED 
control panel will start flashing 02:00. 
• To set the hour, press the CLOCK button (d) for 
a minimum of 3 seconds. The LED control panel 
will start flashing (24h).
• Press the SET button to select the time format 
(24h or 12h). To save the time format and to set 
the hours, press the CLOCK button. The hours will 
start flashing.
• Press and hold the SET button (e) to scroll 
through numbers. Release the button once the 
desired hour is displayed. 
• To set the minutes, press the CLOCK button. 
The LED control panel will start flashing.
• Press and hold the SET button (e) to scroll 
through numbers. Release the button once the 
desired hour is displayed. 
• Press the CLOCK button again to save the desired 
time.
• If during the setting process, no button is pressed 
for 10 seconds the time currently set will be 
saved.
Before programming, always switch on the 
coffee maker. 
Programming and Activating the Timer
• Press the TIMER button (b) for a minimum of 
3 seconds.
• The hours in the LED panel will start flashing. 
• Press and hold the SET button (e) to scroll 
through numbers. Release the button once the 
desired hour is displayed.
• To set the minutes, press the TIMER button. 
The LED control panel will start flashing.
• Press and hold the SET button (e) to scroll 
through numbers. Release the button once 
the desired hour is displayed.
• Press the TIMER button again to save the desired 
time.
• The pre-set auto on time will disappear after 
3 seconds and the time of day will show on the 
LED control panel. 
• If during the setting process, no button is pressed 
for 10 seconds, the auto on time currently set will 
be saved.
This function can only be activated if the auto on 
time and the time of the day have been set. 
To activate the timer function:
• Press the TIMER button (b). The green LED above 
the button will illuminate and the coffee maker will 
start to brew at the pre-set auto on time. 
• The pre-set auto on time disappears after 
3 seconds.
• When the appliance starts brewing, the green LED 
START will continually flash and the LED TIMER 
turns off.
• Press the TIMER button (b) again to switch off the 
function: the green LED light will disappear.
NOTE: The timer function remains activated even 
when the appliance has been switched off (1).
Setting the Water Hardness Level
Set the water hardness level on the coffee maker to 
the water hardness level for your local area.
• Press the CALC button (c) for a minimum of 
3 seconds. 
• The default setting (h3) will start flashing.
• Press the SET button (e) to scroll through the 
options (h1 = soft, h2 = normal, h3 = hard) and 
select the appropriate water hardness level.
• Press the CALC button again to save the hardness 
level.
• The pre-set water hardness disappears after 
3 seconds and the time of day will show on the 
LED control panel.
Brew Strength Selector
• Press the STRONG button (f) to select brew 
strength «strong». 
• The green LED above the button will illuminate.
1 – 4 Cups Setting
• Press the «1-4» button (g). The green LED above 
the button will illuminate.
• Press START (a) to start brewing.
• The green LED turns off after the brewing cycle is finished"
;What is the auto off function and when does it activate?;
;How do I set the time on the coffee maker and how do I choose between the 12-hour and 24-hour time formats?;
;How do I program the timer function on the coffee maker and how do I activate it?;
;How do I set the water hardness level on the coffee maker and how do I begin the descaling process?;
;How do I use the strong function to adjust the brew strength of the coffee?;
;How do I brew smaller amounts of coffee using the 1-4 function?;
;What should I do with the coffee maker at the end of its useful life and where can I dispose of it properly?;
;How do you properly use a paper filter in the filter basket?;(B) Making Coffee Before using the coffee maker for the first time, after a long period of not using it, run the coffee maker through a complete brew cycle without ground coffee. Use a full carafe (12 cups) of fresh cold water. This will remove any dust from the manufacturing process or residues that have remained in the unit. • Open the reservoir cover (5). • When filling the water reservoir (3) with fresh cold water, refer to the carafe height markings or the water level indicator (inside the water reservoir) and fill to the desired number of cups. • To prepare the exact amount of coffee for the Braun thermal mug (available separately as accessory), fill to the corresponding water mark (330 ml) inside the reservoir. • Insert a paper filter (cone type # 4) in the filter basket (4). • Alternatively you can use the gold tone permanent filter which is available separately. • Add the desired amount of ground coffee, corresponding to the number of cups being brewed. We recommend using 1 coffee measuring scoop of ground coffee per cup, but use more or less to suit your taste. • Close the water reservoir and place the carafe in its position on the keep warm plate (6). • Plug the cord into an electrical outlet. • Press the START button (a) to start brewing immediately or press TIMER (b) to commence brewing at the pre-set time. • During brewing, the indicator light will flash continuously. Once the brewing cycle is complete, the light will turn solid green indicating the coffee maker is in «keep warm» mode. NOTE: The anti-drip system halts the flow of coffee from the filter basket when the carafe is removed, so a cup can be poured before brewing is finished. The carafe should be returned to the keep warm plate (maximum 20 seconds) to prevent the filter basket from overflowing. For Best Results • When using paper filters, be sure that it is completely open and fully inserted in the basket. It may help to fold and flatten the seams of the paper filter beforehand. • Once the coffee has finished brewing, stir it before serving to blend the flavors. The coffee at the bottom of the carafe will be somewhat stronger than the coffee at the top. Note: The maximum amount of ground coffee the coffee maker can take is 11 coffee measuring scoops. Exceeding this amount may cause overflow.
;How can you ensure the best results when brewing coffee with the coffee maker?;
;How do you activate the timer function on the coffee maker?;
;How do you set the water hardness level on the coffee maker?;
;Can the coffee maker be used to prepare a smaller quantity of coffee? If so, how is this done?;
;How do you properly clean and maintain the coffee maker?;
;What should you do if the coffee maker takes longer than normal to brew?;
;Can the coffee maker be used to brew coffee for a thermal mug? If so, how do you adjust the amount of water and ground coffee accordingly?;
;What should you do if the cord or housing of the coffee maker is damaged?;
;How do you properly store the coffee maker when it is not in use?;
;What should be done if the LED CALC light turns solid green?;Descaling For the best performance from your Braun coffee maker, descale the unit when the LED CALC (c) lights up solid green. This indicates it is time to descale your coffee maker. To set water hardness see «Setting the Water Hardness Level». The removal of built-up calcium deposits from the water reservoir will help extend the life of your coffee maker and keep your coffee tasting great. Frequency will depend upon the hardness of your tap water and how often you use the coffee maker. You can use a commercially available decalcifying agent not affecting aluminum. We recommend using the Braun Descaling Solution (can be purchased in stores, through the Braun website, or by calling Customer Service). Note: The entire cleaning cycle including rinsing can take up to 45 minutes to complete. • Follow the package instructions of the decalcifying agent. • Place the empty carafe in its position on the keep warm plate (6). • Press the CALC button (c) to select the descaling program. • The green LED above the button will start flashing. • To start the descaling program press START (a). The green LED is still flashing. • When the descaling program has been completed, the green LED (c) will turn off. • Discard the cleaning solution and rinse the carafe thoroughly with clean water. • Fill the water reservoir with a full carafe (12 cups) of clean, fresh water. Run the coffee maker through two complete brew cycles to flush the unit after descaling. Use a full carafe of fresh cold water each time. • Repeat the procedure as many times as necessary in order to reduce the brewing time per cup to a normal level.
;How often should the coffee maker be descaled, and what factors influence this frequency?;
;How can the Braun Descaling Solution be obtained?;
;What should be done after the descaling program has been completed?;
;How can the coffee maker be flushed after descaling?;
;How many times should the descaling procedure be repeated to reduce the brewing time per cup to a normal level?;
;How often should the coffee maker be descaled?;"(C) Cleaning and Maintenance 
• Always turn coffee maker off and remove the plug 
from the electrical outlet before cleaning.
• Lift up the reservoir cover. Remove the paper filter 
and discard the ground coffee.
• Remove the carafe from the keep warm plate.
• The filter basket, carafe and lid are dishwashersafe. 
• Do not use any scouring agents or harsh 
cleansers on any part of the coffee maker.
• Never immerse the unit in water or other liquids.
To clean base, simply wipe with a clean, damp 
cloth and dry before storing.
• Do not put any water in the unit once the filter 
basket has been removed. 
• Fingerprints and other blemishes on the housing 
can be wiped off with soap and water or a 
non-abrasive cleaning solution. 
• Do not dry the inside of the water reservoir with 
a cloth, as lint may remain."
;What should you use to descale the coffee maker?;
;Can the filter basket, carafe and lid be washed in the dishwasher?;
;Is it okay to immerse the coffee maker in water for cleaning?;
;How should the base of the coffee maker be cleaned?;
;Can the housing of the coffee maker be wiped with soap and water or a non-abrasive cleaning solution to remove fingerprints and other blemishes?;
;How should the inside of the water reservoir be dried after cleaning?;
Delonghi\ec685bk_dedica_siebträger\ec685bk_dedica_siebträger_ec685bk_instruction_manuals_english.pdf;What is the voltage ran for this appliance?;"2. SAFETY WARNINGS
Danger! Failure to observe the warning may result in life 
threatening injury by electric shock.
This is an electrical appliance and may cause electrical shocks.
You should therefore follow these safety warnings:
• Never touch the appliance with damp hands or feet.
• Never touch the plug with damp hands.
• Make sure the socket used is freely accessible at all times, 
enabling the appliance to be unplugged when necessary. 
• Unplug directly from the plug only. Never pull the cord as 
you could damage it.
• To disconnect the appliance completely you must unplug it 
from the mains socket.
• If the appliance is faulty, do not attempt to repair. 
Turn it off, unplug from the mains socket and contact Customer Services. 
• Before cleaning the appliance, turn it off, unplug from the 
mains socket and allow to cool.
 Important: Failure to observe the warning could result in 
injury or damage to the appliance.
Keep all packaging (plastic bags, polystyrene foam) away from 
children.
 Danger of burns! Failure to observe the warning could 
result in scalds or burns.
This appliance produces hot water and steam may form while 
it is in operation. 
Avoid contact with splashes of water or hot steam.
2.1 Designated use and restrictions 
This appliance is designed and made to prepare coffee or hot 
water and to heat milk using steam.
Use drinking water only to fill the tank as described in the Instruction for Use. 
Never use the hot water/steam spout (A12) with beverages 
other than milk. 
Any other use is considered improper and thus dangerous. The 
manufacturer is not liable for damage deriving from improper 
use of the appliance.
2.2 Instruction for Use
Read this Instruction for Use carefully before using the appliance. Failure to follow this Instruction for Use may result in 
burns or damage to the appliance. 
The manufacturer is not liable for damage deriving from failure 
to respect this Instruction for Use.
 Please note: 
Keep this Instruction for Use. If the appliance is passed to other 
persons, they must also be provided with this Instruction for 
Use.
2.3 Checking the appliance
After removing the packaging, make sure the product is complete and undamaged and that all accessories are present. Do 
not use the appliance if it is visibly damaged. Contact De’Longhi 
Customer Services. 
3. DISPOSING OF THE APPLIANCE
The appliance must not be disposed of with household waste, but taken to an authorised waste separation and recycling centre.
4. TECHNICAL DATA
Mains voltage: ........................................220-240V~50/60Hz
Absorbed power:.........................................................1350 W
Pressure: .......................................................................15 bar
Water tank capacity: ............................................................1 l
Size LxHxD..........................................149x305x330 (414)mm
Weight.........................................................................4.04 kg
This appliance conforms to EC Regulation 1935/2004 
on materials and articles intended to come into contact with food.
None of the components or accessories is dishwasher safe."
;How much power does the appliance use?;
;What is the pressure of the appliance?;
;What is the capacity of the water tank?;
;What are the dimensions and weight of the appliance?;
;Can the components or accessories be washed in a dishwasher?;
;What should be done if the appliance is visibly damaged?;
;How should the appliance be disposed of at the end of its useful life?;
;What is the purpose of the hot water/steam spout on the appliance?;
;What should be done if the appliance is not functioning properly?;
